date,product_id,product_name,category,store_location,units_sold,orders,price,revenue,stock_level,reorder_point
2025-11-23,P001,Basic T-Shirt,Clothing,Düsseldorf,10,6,66.78,667.81,117,48
2025-11-23,P001,Basic T-Shirt,Clothing,Essen,6,3,30.91,185.46,124,52
2025-11-23,P001,Basic T-Shirt,Clothing,Köln,23,11,57.1,1313.37,81,33
2025-11-23,P001,Basic T-Shirt,Clothing,München,3,1,20.96,62.87,143,59
2025-11-23,P001,Basic T-Shirt,Clothing,Berlin,16,7,65.32,1045.15,85,58
2025-11-23,P002,Slim Jeans,Clothing,Düsseldorf,18,10,75.31,1355.62,115,42
2025-11-23,P002,Slim Jeans,Clothing,Essen,21,8,36.86,773.98,114,48
2025-11-23,P002,Slim Jeans,Clothing,Köln,9,3,63.74,573.66,128,32
2025-11-23,P002,Slim Jeans,Clothing,München,17,9,38.66,657.2,89,38
2025-11-23,P002,Slim Jeans,Clothing,Berlin,10,7,66.26,662.58,143,56
2025-11-23,P003,Summer Dress,Clothing,Düsseldorf,26,10,61.73,1605.01,55,31
2025-11-23,P003,Summer Dress,Clothing,Essen,31,13,72.29,2240.92,102,52
2025-11-23,P003,Summer Dress,Clothing,Köln,32,17,33.68,1077.64,63,33
2025-11-23,P003,Summer Dress,Clothing,München,5,4,34.65,173.24,135,36
2025-11-23,P003,Summer Dress,Clothing,Berlin,4,2,37.09,148.36,113,57
2025-11-23,P004,Sneakers,Shoes,Düsseldorf,3,2,148.57,445.7,104,48
2025-11-23,P004,Sneakers,Shoes,Essen,18,15,59.03,1062.52,127,44
2025-11-23,P004,Sneakers,Shoes,Köln,10,4,114.52,1145.17,95,25
2025-11-23,P004,Sneakers,Shoes,München,14,7,137.73,1928.28,90,26
2025-11-23,P004,Sneakers,Shoes,Berlin,7,3,84.92,594.45,129,48
2025-11-23,P005,Leather Boots,Shoes,Düsseldorf,31,16,60.15,1864.56,94,59
2025-11-23,P005,Leather Boots,Shoes,Essen,24,12,86.65,2079.53,74,46
2025-11-23,P005,Leather Boots,Shoes,Köln,36,17,98.67,3552.27,28,57
2025-11-23,P005,Leather Boots,Shoes,München,11,7,126.86,1395.41,64,30
2025-11-23,P005,Leather Boots,Shoes,Berlin,11,7,148.03,1628.36,54,27
2025-11-23,P006,Handbag,Accessories,Düsseldorf,31,23,23.26,721.06,75,51
2025-11-23,P006,Handbag,Accessories,Essen,19,8,45.56,865.58,105,49
2025-11-23,P006,Handbag,Accessories,Köln,35,14,70.25,2458.64,89,47
2025-11-23,P006,Handbag,Accessories,München,19,9,54.58,1036.94,85,46
2025-11-23,P006,Handbag,Accessories,Berlin,21,17,33.34,700.24,80,54
2025-11-23,P007,Belt,Accessories,Düsseldorf,19,11,75.74,1439.07,102,50
2025-11-23,P007,Belt,Accessories,Essen,20,14,52.6,1052.0,73,25
2025-11-23,P007,Belt,Accessories,Köln,35,27,19.06,666.96,73,53
2025-11-23,P007,Belt,Accessories,München,25,10,70.23,1755.77,97,55
2025-11-23,P007,Belt,Accessories,Berlin,17,14,28.85,490.44,153,56
2025-11-23,P008,Winter Jacket,Outerwear,Düsseldorf,20,8,211.81,4236.1,122,34
2025-11-23,P008,Winter Jacket,Outerwear,Essen,20,13,83.26,1665.16,74,28
2025-11-23,P008,Winter Jacket,Outerwear,Köln,33,17,156.72,5171.63,65,59
2025-11-23,P008,Winter Jacket,Outerwear,München,23,11,158.66,3649.21,95,47
2025-11-23,P008,Winter Jacket,Outerwear,Berlin,33,28,121.67,4015.07,36,43
2025-11-23,P009,Blazer,Outerwear,Düsseldorf,21,10,91.66,1924.86,85,45
2025-11-23,P009,Blazer,Outerwear,Essen,19,11,201.36,3825.87,101,33
2025-11-23,P009,Blazer,Outerwear,Köln,19,9,113.14,2149.58,93,30
2025-11-23,P009,Blazer,Outerwear,München,30,17,148.97,4469.03,111,44
2025-11-23,P009,Blazer,Outerwear,Berlin,16,6,132.48,2119.71,75,30
2025-11-23,P010,Sports Hoodie,Sportswear,Düsseldorf,20,9,52.77,1055.38,99,42
2025-11-23,P010,Sports Hoodie,Sportswear,Essen,31,20,34.09,1056.8,97,56
2025-11-23,P010,Sports Hoodie,Sportswear,Köln,24,12,61.8,1483.24,108,52
2025-11-23,P010,Sports Hoodie,Sportswear,München,12,5,111.98,1343.8,148,42
2025-11-23,P010,Sports Hoodie,Sportswear,Berlin,32,19,32.37,1035.94,108,25
2025-11-24,P001,Basic T-Shirt,Clothing,Düsseldorf,18,12,78.19,1407.51,126,30
2025-11-24,P001,Basic T-Shirt,Clothing,Essen,34,23,74.79,2542.86,74,33
2025-11-24,P001,Basic T-Shirt,Clothing,Köln,18,15,32.43,583.81,69,58
2025-11-24,P001,Basic T-Shirt,Clothing,München,33,25,71.13,2347.32,109,47
2025-11-24,P001,Basic T-Shirt,Clothing,Berlin,26,13,68.3,1775.87,111,39
2025-11-24,P002,Slim Jeans,Clothing,Düsseldorf,27,11,50.84,1372.66,97,28
2025-11-24,P002,Slim Jeans,Clothing,Essen,17,8,35.49,603.41,114,35
2025-11-24,P002,Slim Jeans,Clothing,Köln,17,10,55.09,936.46,145,56
2025-11-24,P002,Slim Jeans,Clothing,München,11,9,56.12,617.28,103,30
2025-11-24,P002,Slim Jeans,Clothing,Berlin,0,1,73.65,0.0,132,46
2025-11-24,P003,Summer Dress,Clothing,Düsseldorf,17,6,42.64,724.83,95,46
2025-11-24,P003,Summer Dress,Clothing,Essen,14,5,47.75,668.53,133,42
2025-11-24,P003,Summer Dress,Clothing,Köln,4,2,36.15,144.62,119,49
2025-11-24,P003,Summer Dress,Clothing,München,24,12,41.31,991.35,31,43
2025-11-24,P003,Summer Dress,Clothing,Berlin,13,9,58.76,763.82,65,46
2025-11-24,P004,Sneakers,Shoes,Düsseldorf,28,23,68.66,1922.39,62,55
2025-11-24,P004,Sneakers,Shoes,Essen,15,6,50.53,757.95,120,26
2025-11-24,P004,Sneakers,Shoes,Köln,15,7,70.51,1057.62,162,36
2025-11-24,P004,Sneakers,Shoes,München,28,17,100.61,2817.09,97,34
2025-11-24,P004,Sneakers,Shoes,Berlin,16,9,118.15,1890.4,81,54
2025-11-24,P005,Leather Boots,Shoes,Düsseldorf,28,11,143.29,4012.23,94,46
